,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80
113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-7.988372435,-7.996779641,-7.994256912,-7.997553792,-7.989158169,-7.985405168,-7.969821481,-7.961021356,-7.942431055,-7.930279601
112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-8.006178441,-8.013172576,-8.008824146,-8.011078923,-8.000395777,-7.996301703,-7.978438284,-7.96895086,-7.94731133,-7.934640824
111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-8.016862981,-8.017810595,-8.022534085,-8.016231717,-8.015387879,-8.003729548,-7.996222023,-7.97714732,-7.963837024,-7.941386624,-7.92653282
110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-8.024603195,-8.036259948,-8.034112533,-8.037420594,-8.029263877,-8.027593428,-8.013501613,-8.00528883,-7.983973106,-7.970279561,-7.944569945,-7.929485181
109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-8.033363199,-8.038390174,-8.047217212,-8.044640496,-8.044617148,-8.035177343,-8.030847552,-8.015255461,-8.003777025,-7.98042385,-7.963799573,-7.937821231,-7.919467654
108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-8.038859429,-8.054685754,-8.05708236,-8.065481351,-8.057706279,-8.057579602,-8.045981232,-8.040861226,-8.023518716,-8.011167979,-7.986674781,-7.968785463,-7.939633587,-7.921379428
107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-8.046042555,-8.05411837,-8.067060378,-8.067766229,-8.072636208,-8.064711614,-8.061207549,-8.048467552,-8.040610185,-8.021136812,-8.007554591,-7.982029091,-7.961437186,-7.931575515,-7.909316836
106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-8.050826426,-8.069286904,-8.074737439,-8.086185933,-8.084488758,-8.086788555,-8.07613904,-8.072137211,-8.056208696,-8.048059179,-8.026650752,-8.011828783,-7.984387538,-7.965035432,-7.93165555,-7.909985847
105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-8.057332417,-8.067339508,-8.083516663,-8.088041839,-8.096623994,-8.093401778,-8.093666353,-8.081732861,-8.074537451,-8.056962154,-8.045897236,-8.022515956,-8.005773649,-7.977013612,-7.954990401,-7.922350236,-7.896266565
104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-8.060576277,-8.082198176,-8.089464414,-8.104397807,-8.10635182,-8.113203183,-8.107222544,-8.106628148,-8.091884208,-8.08407915,-8.063503646,-8.052037402,-8.02634512,-8.010061412,-7.97889461,-7.956591738,-7.92063819,-7.89560486
103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-8.065320236,-8.077714804,-8.097741541,-8.103790388,-8.117567271,-8.11662458,-8.120562554,-8.113840202,-8.110220548,-8.094206869,-8.083483767,-8.061907235,-8.047728719,-8.021394179,-8.001243633,-7.96990441,-7.945974672,-7.909426177,-7.880941459
102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-8.066685074,-8.091923317,-8.101684356,-8.12010564,-8.123937553,-8.134779285,-8.131917881,-8.134820501,-8.124722112,-8.12025081,-8.10180345,-8.091279811,-8.067544568,-8.052940872,-8.024048114,-8.003875453,-7.969724314,-7.944951716,-7.906701626,-7.878789251
101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-8.066517397,-8.085149347,-8.108652728,-8.117289142,-8.132839857,-8.135380802,-8.143878206,-8.139752023,-8.139884542,-8.128356321,-8.120710071,-8.101009496,-8.087969223,-8.064605096,-8.046410966,-8.016754292,-7.994393792,-7.958903436,-7.932323592,-7.892958704,-7.861820648
100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-8.065816792,-8.095194118,-8.110804876,-8.132622902,-8.139101732,-8.153134018,-8.153586043,-8.160203,-8.153305449,-8.152503534,-8.137333876,-8.129457972,-8.10745582,-8.094402717,-8.067831487,-8.049409035,-8.01726212,-7.994365692,-7.957663357,-7.930201784,-7.886565442,-7.857893329
99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-8.063848967,-8.0860436,-8.112834929,-8.127674081,-8.146737511,-8.151901315,-8.164222048,-8.162672199,-8.166851313,-8.158422127,-8.154663479,-8.137822238,-8.127304153,-8.10445064,-8.088773136,-8.061167821,-8.040133319,-8.007592997,-7.982425159,-7.944480904,-7.914828859,-7.871913738,-7.838515993
98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-8.057732578,-8.094082136,-8.113429358,-8.139684869,-8.150570693,-8.168618318,-8.171763771,-8.182023393,-8.178606484,-8.181702409,-8.169922385,-8.164907062,-8.145476776,-8.134694289,-8.109061947,-8.0933607,-8.062507143,-8.042055591,-8.00736427,-7.981562457,-7.939517444,-7.910901181,-7.864127734,-7.833447768
97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-8.05334881,-8.080130541,-8.113496773,-8.131825684,-8.155453437,-8.165363072,-8.180493896,-8.182241501,-8.190203506,-8.185843804,-8.18478214,-8.170889623,-8.162888133,-8.141829666,-8.129051442,-8.103309566,-8.085020874,-8.053369508,-8.030611158,-7.994761566,-7.966508912,-7.925101647,-7.892344577,-7.84662826,-7.81158225
96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-8.043233462,-8.08658895,-8.110269293,-8.142261468,-8.156967021,-8.180226419,-8.186590741,-8.200035378,-8.199761256,-8.206073884,-8.197522207,-8.196490874,-8.179965767,-8.172002531,-8.148466937,-8.135267229,-8.105548558,-8.087916055,-8.054071125,-8.031163786,-7.992761814,-7.964202298,-7.919224784,-7.888355049,-7.838394753,-7.804306118
95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-8.068006376,-8.107952846,-8.130911018,-8.159313815,-8.173155597,-8.19628947,-8.200017586,-8.210472772,-8.207788629,-8.210694396,-8.200519205,-8.196347407,-8.178411199,-8.167715364,-8.142999631,-8.126930973,-8.097458915,-8.076858043,-8.043430125,-8.017152831,-7.977825525,-7.947271259,-7.902290343,-7.867246636,-7.818843477,-7.78128783
94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-8.100760391,-8.139688744,-8.159310322,-8.185562976,-8.196515399,-8.216065045,-8.218542853,-8.228133801,-8.222920685,-8.224938572,-8.211889885,-8.20712473,-8.186133177,-8.175404949,-8.147901995,-8.13213046,-8.098336625,-8.078721602,-8.042119675,-8.016149676,-7.973449664,-7.943516453,-7.894961025,-7.861156181,-7.80926787,
93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-8.104330509,-8.124898606,-8.159815135,-8.178374753,-8.200654253,-8.209790613,-8.227769019,-8.228753023,-8.234364526,-8.227750618,-8.226632523,-8.212243153,-8.204655397,-8.181611322,-8.168802739,-8.140617832,-8.122339329,-8.089194221,-8.065664031,-8.027751017,-7.999963135,-7.957267097,-7.923225259,-7.8759352,-7.838642009,-7.787454521,
92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-8.140942216,-8.157166799,-8.190448327,-8.205280346,-8.225105449,-8.231424209,-8.247179795,-8.24451893,-8.250023979,-8.239839301,-8.238485063,-8.221263224,-8.213226884,-8.188138537,-8.17464774,-8.144213374,-8.125509252,-8.089276159,-8.066188624,-8.025375791,-7.997448157,-7.951154124,-7.918044667,-7.867134558,-7.831221545,-7.776602328,
